Submission id,id,Started at,Reviewed at,Total approvals,Siblings,Age,Sex,female,Ethnicity,Countryofbirth,Country of residence,Nationality,Language,Student status,Employment status,session,IPAddress,Duration,Treatment,control,t1,t2,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,Q6 Comp,Action1,blue,Advice1,timer action 1_First Click,timer action 1_Last Click,pagetimerSH,timer action 1_Click Count,Dnorm1,Snorm1,Comp2,Action2,Advice2,Timer action 2 _First Click,Timer action 2 _Last Click,pagetimerPGG,Timer action 2 _Click Count,DNorm2,SNorm2,Comp3,Action3,Advice3,Timer action 3 _First Click,Timer action 3 _Last Click,pagetimerDic,Timer action 3 _Click Count,DNorm3,SNorm3,Lotteries,risktolerance,wealth,poor,lowerincome,describe kinship ,sibling ,hassibling,Kin,closeness,Service,kin2,close2
645994a04b3d98ea11f598ed,5c0fcccc1f6f150001487111,2023-05-09T00:32:37.930000Z,2023-05-09T01:51:25.239000,4853,No,59,Female,1,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",2,174.174.151.225,456,c,1,0,0,R_3iWJEPaGSMMg3qG,42.8003,-85.7093,EN,50 tokens,Blue,1,Let's have some fun and earn a good bonus.  Enjoy the game .  Good Luck!,11.261,48.243,91.417,4,Blue,none,50 Tokens,25,Just have fun and enjoy the game.  Give what you feel is fair.  Good Luck!,5.614,53.764,63.439,5,25,25,80 tokens,40,I think you should allocate what is fair.  I feel fair is splitting the allocation 50/50.,5.112,7.144,43.586,2,50,50,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,Friendship and camaraderie.,No,0,,,No,,
64599877afd43c50fcf8d81c,5dabebf8e022cd0014da4c87,2023-05-09T00:49:02.531000Z,2023-05-09T02:22:33.384000,298,No,28,Female,1,Asian,China,Canada,Canada,Chinese,No,Full-Time,1,198.53.88.70,434,c,1,0,0,R_2pXio4zOBGVpg6e,49.6506,-112.8372,EN,50 tokens,Blue,1,"cooperation seems to yield the best amount of money. If we both choose blue, then we would both be compensated.",1.62,29.341,43.615,4,Blue,Blue,125 Tokens,100,"The higher amount of tokens I will contribute to the public fund, the more yield there is. ",6.134,7.435,23.749,2,100,100,80 tokens,50,"To be fair and equitable, it's best to split things 50-50. Allocating less to B will result in hostility.",1.918,20.075,31.42,4,50,50,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,"Kinship means family. It doesn't mean immediately family, but anyone related to me.",No,0,,,No,,
64598187918ae973e6af994b,6113e6fb0dd8292704763e79,2023-05-08T23:11:05.832000Z,2023-05-09T01:51:20.329000,771,No,21,Female,1,White,Romania,France,Romania,Romanian,No,Full-Time,1,78.202.46.85,673,c,1,0,0,R_2c5e6g1RLD2DsKG,48.8323,2.4075,EN,0 tokens,Blue,1,If we should both choose blue for maximum bonus for both participants,2.982,50.693,67.294,4,Blue,Blue,125 Tokens,100,we should contribute to maximum of 100 to get the maximum possible out,3.657,11.837,61.143,2,50,100,80 tokens,0,To mantain my maximum value I will not share any of my sum to counterpart B,8.728,63.741,86.083,4,0,50,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,similarities between individuals that can produce distinguisable groups ,No,0,,,No,,
6459666b83a1d1d15f3c8f13,61453be84f4fdcbe12189aea,2023-05-08T21:15:23.329000Z,2023-05-08T21:50:33.112000,256,No,22,Female,1,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),2,73.232.218.53,502,c,1,0,0,R_22lFztOkEjSGfso,29.7646,-95.3657,EN,50 tokens,Blue,1,Just pick blue so we can both get 100 tokens. That way we both make a lot of tokens ,1.586,28.752,46.942,6,Blue,Blue,100 Tokens,50,Choosing 50 makes things equal. You give up 50 tokens then you get 50 tokens,3.082,31.769,53.579,4,50,100,80 tokens,50,I wanted to be fair and give the other player 50 tokens so that we could both have 50 tokens,1.773,11.382,47.474,5,50,50,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,"People that are closest to you, almost like a family",No,0,,,No,,
6459e9e132e774b16cac43f9,63d7be523261fcaf84e94668,2023-05-09T06:36:20.886000Z,2023-05-09T14:11:48.061000,158,No,25,Female,1,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking),1,201.108.11.73,678,c,1,0,0,R_3qxKqIawZhgtYVg,19.54,-96.8891,ES-ES,50 tokens,Blue,1,"I chose blue hoping the other player would choose the same to win 100 tokens. It is not the safest option because you can lose, but it is worth a try.",3.062,90.653,92.83,8,Yellow,Blue,100 Tokens,50,I chose 50 tokens because it says it will increase by 50% so in the end I will have 100 tokens,5.36,41.925,43.824,2,50,50,80 tokens,50,I chose 50 tokens because I consider that it is something fair between both participants.,4.16,22.373,25.005,2,20,50,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,"To me, the kinship is a conexion between you and another person who is from your family line",No,0,,,No,,
64597cc4441ec866d3f54941,64055ba3592ac162206d9e9f,2023-05-08T22:50:50.015000Z,2023-05-09T01:51:20.007000,157,No,59,Female,1,White,Hungary,Hungary,Hungary,Hungarian,No,Unemployed (and job seeking),1,89.132.170.113,712,c,1,0,0,R_22reL0IOuV7cruw,47.5636,19.0947,EN,50 tokens,Blue,1,Choose blue so WE get more tokens than if you choose yellow and only YOU will get less tokens.,1.614,81.482,89.089,4,Yellow,Blue,125 Tokens,100,"Contribute more, get more. Contribute less get less. Contribute maximum if you want to maximize the income.",6.701,90.56,117.075,5,50,100,80 tokens,50,"If you are ""A"" and would like to get equal payoff, choose 50. I'm counting on you. ;)",4.843,79.033,94.157,6,40,50,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,To be a relative to someone. To be connected by blood. To have someting common.,No,0,,,No,,
64598bfd324b622ea245af9c,5bbc4bd1f83ac60001fe665e,2023-05-08T23:55:53.861000Z,2023-05-09T01:51:22.060000,427,No,34,Female,1,White,United States,United States,United States,English,No,Full-Time,2,67.171.74.57,1847,c,1,0,0,R_W6SqbT9ve8u8WRz,40.473,-79.9537,EN,50 tokens,Blue,1,"The choice seems like common sense to me. Choosing blue seems obvious due to the increased amount of tokens you receive if your counterpart also chooses blue. I believe the only reason someone would choose yellow, is if they weren't paying attention or perhaps somewhat mean spirited. Choosing blue seems like a no-brainer to me.",4.327,109.771,112.372,4,Blue,Blue,125 Tokens,100,"If my math is correct, it makes the most sense to contribute 100 tokens.  Of course the risk is it the other person contributes nothing or very little. I think most people would contribute 100 or close to it provided they understand the basic math of it.",15.47,210.246,211.224,27,100,100,80 tokens,50,"I think this is the morally correct choice. Just put yourself in the position of roll B, and think how grateful you'd be forgetting some tokens allocated to you. I think this is actually a pretty easy choice if you have sympathy and empathy in your toolbox!",6.095,10.998,138.847,4,50,50,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,A closeness or empathy with people near you.,No,0,,,No,,
6459670427c3cdb4849f7906,60443f5ff841774c77538cf9,2023-05-08T21:17:58.624000Z,2023-05-08T21:50:34.947000,89,No,23,Female,1,Asian,China,United Kingdom,United Kingdom,Chinese,No,Full-Time,1,90.205.248.198,424,c,1,0,0,R_vwvwjLhQTmWNhK1,51.3304,-0.268,EN,50 tokens,Blue,1,The other player is also likely to choose the higher payoff so you're both benefiting despite a small risk,3.332,28.747,29.444,3,Blue,none,125 Tokens,0,It's hard to predict how much other people will pay so best to cut losses and not contribute any,7.583,87.458,87.866,6,0,50,80 tokens,50,"We're all in this together so best to split evenly, it shows kindness and equality",5.184,48.024,48.408,7,30,50,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,"People that you feel affinity to, either your family or close friends",No,0,,,No,,
6459862ed92a42aa279c9b5a,627ebc31883c7dd7c2220c7e,2023-05-08T23:31:03.342000Z,2023-05-09T01:51:21.124000,1655,No,19,Female,1,White,United States,United States,United States,English,No,Full-Time,2,32.214.200.160,301,c,1,0,0,R_1l3iqZNVE2Qng32,41.7041,-72.679,EN,50 tokens,Blue,1,"I picked blue in hopes that the other play would pick blue as well, this will maximize benefits",1.288,3.85,19.578,2,Yellow,Blue,125 Tokens,50,I contributed 50 tokens because I feel that is a fair numbers for me and the other participant,4.628,5.867,26.706,2,50,50,80 tokens,50,I chose 50 to split the tokens equally because that is the fair thing to do.,5.247,5.915,19.154,2,50,50,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,The closeness of family and friends,No,0,,,No,,
6459764cfe254f62219e8385,644c346368111d574c14a67a,2023-05-08T22:23:13.704000Z,2023-05-09T02:22:32.071000,1,No,28,Female,1,White,United States,United States,United States,English,No,Full-Time,2,174.49.65.10,662,c,1,0,0,R_3qsRC15gtn5gpfq,33.8992,-84.8572,EN,50 tokens,Blue,1,You have a 50/50 chance of guessing the same color. I have no advice. Choose your favorite color.,4.085,13.153,81.874,2,Blue,Blue,125 Tokens,50,No advice here. Pick something. No way to know what your partner will pick.,4.269,40.014,73.407,4,50,100,80 tokens,20,No advice here. Just pick something. Nothing moral about this choice.,11.829,13.176,51.674,2,50,50,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,That family feeling among friends.,No,0,,,No,,
