submissionid,id,startedat,reviewedat,totalapprovals,age,female,countryofbirth,countryofresidence,nationality,language,studentstatus,employmentstatus,session,ipaddress,duration,treatment,control,t1,t2,responseid,locationlatitude,locationlongitude,userlanguage,q6comp,action1,advice1,timeraction1_firstclick,timeraction1_lastclick,pagetimersh,timeraction1_clickcount,dnorm1,snorm1,comp2,action2,advice2,timeraction2_firstclick,timeraction2_lastclick,pagetimerpgg,timeraction2_clickcount,dnorm2,snorm2,comp3,action3,advice3,timeraction3_firstclick,timeraction3_lastclick,pagetimerdic,timeraction3_clickcount,dnorm3,snorm3,lotteries,risktolerance,wealth,poor,lowerincome,describekinship,sibling,hassibling,kin,closeness,service,kin2,close2,black,asian,mixed,student,blue,bluednorm,bluesnorm,ethnicity,sex,treatments,onlychild
645999e6911e232ab0be8028,6400d91626a7ff50dffaadd0,2023-05-09T00:55:11.945000Z,2023-05-09T01:51:37.033000,569,26,0,Greece,Greece,Greece,Greek,Yes,Full-Time,3,172.59.74.89,665,1,0,1,0,R_8MwSSRwidB8l601,39.084702,-94.5308,EN,50 tokens,Blue,Assume the best of your fellow players.  There's no reason to pick yellow other than to deny your other opponent tokens and make less for yourself.  Let's choose the best outcome for both of us.,5.835,77.306999,77.356003,2,Blue,Blue,125 Tokens,50,"You must consider that now you share with your counterpart.  A greedy counterpart will contribute nothing, hoping that their counterpart contributed everything, giving them bonus tokens.  You have to protect yourself by also contributing nothing.",15.163,171.314,171.901,31,0,100,80 tokens,11,"unfortunately, outside of being nice, there's no benefit to allocating anything to player B.  Most will probably not allocate anything, so you shouldn't either.  In a positive world, you'd split it, but given that you're just losing money to someone you don't know, I don't know why anyone would.",2.6689999,4.7399998,81.57,3,0,30,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,Family and close community.  Being a part of the same tribe.,Yes,1,I have a sister/sisters,6,No,,,0,0,0,1,1,1,1,White,Male,1,0
645a02fe4db54f57f6d73364,6169e7fea1a4aeda7e9abd0c,2023-05-09T08:23:26.792000Z,2023-05-09T14:11:48.646000,172,23,0,Hungary,Hungary,Hungary,Hungarian,Yes,Other,1,82.145.211.200,481,1,0,1,0,R_8C9jZQIMjpWJdYQ,47.0014,7.9994001,EN,50 tokens,Blue,"Pick blue, always. The task is related to the so-called prisoner's dilemma.",7.9000001,23.291,61.208,3,Blue,Blue,125 Tokens,100,Go for the max amount as that yields the highest reward. The task is a variation on the so-called prisonercs dilemma.,6.4000001,71.249001,71.638,7,100,100,80 tokens,50,"If you wish to receive equal rewards, you must pick 50 tokens as it distributes the rewarda equally.",5.0009999,48.109001,48.721001,4,50,50,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,Friendship,Yes,1,I have a sister/sisters,7,Yes,Yes,8,0,0,1,1,1,1,1,Mixed,Male,1,0
645997ffe8c2c2ee8510e58e,644065e48a7e066e05ef2bdf,2023-05-09T00:47:00.167000Z,2023-05-09T01:51:34.751000,117,24,0,United States,United States,United States,English,Yes,Full-Time,4,166.142.213.24,1237,1,0,1,0,R_2Vs0sVJALdhHLZT,33.933701,-86.0933,EN,50 tokens,Blue,Don't be afraid to take risks. Trust your partner's ability to make the right choice. If they don't don't regret going for the best outcome. ,12.033,182.658,183.582,17,Blue,Blue,100 Tokens,100,The more you and your partner contribute to public funds the more money you each get. However if your partner refuses to contribute you won't lose money. ,15.693,130.23199,131.097,10,50,100,80 tokens,50,It is important to be fair to others in every circumstances in other to build trust.  A society based on trust would be able to growth better. It is also important that every one have equal rights. ,8.4020004,155.358,156.092,6,40,50,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,People who are related to be by blood or ancestral backgrounds.,Yes,1,"I have both, brother(s) and sister(s)",9,No,,,1,0,0,1,1,1,1,Black,Male,1,0
645996f22c1c54c09fe30d2b,6330f30b973410dadd20eb64,2023-05-09T00:42:26.256000Z,2023-05-09T01:51:34.465000,1398,40,0,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),4,197.221.123.58,1132,1,0,1,0,R_2GUNCdnmTsfGNVc,-26.2309,28.0583,EN,50 tokens,Blue,"Choose the interaction whith the highest number or quality of tokens, in this case blue with 100 tokens. This ensures that you attain the best result irrespective of your rivals. ",14.611,134.58501,135.401,10,Blue,Blue,125 Tokens,50,Offer at not more than half of your tokens so that your final payout is what you left out and also 50% of your public fund.,9.9300003,175.41701,176.218,16,50,50,80 tokens,41,Allocate the least tokens to achieve the best payout in comparison of the other players ,12.806,86.077003,87.246002,20,42,40,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,Someone you're related to by blood ,Yes,1,I have a sister/sisters,10,No,,,1,0,0,1,1,1,1,Black,Male,1,0
6459894e601a77a73d30fcee,644d9f390f2b8274af07c00e,2023-05-08T23:44:18.950000Z,2023-05-09T01:51:07.859000,51,51,1,United States,United States,United States,English,No,Part-Time,4,50.54.153.28,685,1,0,1,0,R_22mwj3SvcVyxzgK,45.440701,-122.7792,EN,50 tokens,Blue,I decided to err on the side of most that have a sibling might want to share. They might want to make sure their sibling is provided for. Siblings should stick together.,13.522,13.522,89.988998,1,Yellow,none,125 Tokens,50,Fair and just is a great way to keep the peace. Keeping things equal avoids disagreements.,17.684999,18.535999,51.623001,2,50,50,80 tokens,50,Equality is best. Keep it fair and just. Best practice is to keep it simple to avoid anything from going awry.,12.941,86.586998,90.113998,4,50,50,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,Family - Home,Yes,1,"I have both, brother(s) and sister(s)",0,No,,,0,0,0,0,1,0,0,White,Female,1,0
64598f0555c3a5c779f8d7f0,5b7df1f09fcd3c00011904a4,2023-05-09T00:08:39.608000Z,2023-05-09T01:51:09.694000,551,34,0,Croatia,Croatia,Croatia,Croatian,Yes,Unemployed (and job seeking),4,213.149.61.63,449,1,0,1,0,R_2iNiszOFg7wQxW1,43.5098,16.441099,EN,0 tokens,Blue,Read throughly and pay close attention to the tokens given. It's very important to the task given.,12.201,36.185001,47.933998,2,Yellow,Blue,100 Tokens,40,"Think about what the other person could choose and it's differences, which may wary in opinions.",5.9250002,43.757999,44.042999,4,50,50,20 tokens,20,"Again really easy, just read the question properly and the answer lies ahead.",4.9180002,6.6919999,22.82,2,20,20,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,not well off,0,1,"A relationship between family members,",Yes,1,I have a brother/brothers,6,No,,,0,0,0,1,1,0,1,White,Male,1,0
645966518a72a0fb6c9f796f,5d29412ab711e9001ab74ece,2023-05-08T21:14:57.128000Z,2023-05-08T21:50:42.718000,593,39,0,United States,United States,United States,English,No,Part-Time,1,97.183.241.241,448,1,0,1,0,R_65X5IRvGqEUnErv,30.040899,-95.530197,EN,50 tokens,Blue,Me and my siblings would scheme to get everyone the highest payout.,2.8150001,2.8150001,25.656,1,Blue,Blue,125 Tokens,50,Always go for a balancing act. Self-preservation plus the chance to earn more is the best best. 50/50,5.105,67.886002,87.330002,4,40,50,80 tokens,50,This is the easiest role to maintain fairness. Split 50/50 with the other person.,2.1099999,4.079,28.188,3,50,50,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens",2,not well off,0,1,a very close friend with which you share a sibling like bond,Yes,1,I have a sister/sisters,5,No,,,0,0,1,0,1,1,1,Mixed,Male,1,0
64599825e253c7b26cac443a,5ee00b8630f30b34f2a5dc1c,2023-05-09T00:47:38.814000Z,2023-05-09T01:51:35.159000,131,33,0,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,2,86.12.188.133,312,1,0,1,0,R_8arefjlxle249Yk,53.809601,-1.4426,EN,50 tokens,Blue,"Let's make the most money we can and look after eachother. If we both selected yellow then we only get 50, whereas we can help eachother out and pick Blue. I'm a trustworthy guy.",1.25,1.25,31.094999,1,Blue,Blue,50 Tokens,25,If you're wanting to look after yourself then don't contribute anything. Whatever you contribute to the public fund you are essentially giving way your tokens.,4.257,4.973,38.193001,2,0,50,80 tokens,10,"I advise looking after yourself. However, having said that you need to have some decency and sacrifice some tokens. However go with your gut feeling.",2.635,32.082001,32.463001,4,0,50,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens",2,not well off,0,1,I've honestly never heard of this word.,Yes,1,I have a brother/brothers,8,No,,,0,0,0,0,1,1,1,White,Male,1,0
6459987d90718b448070abd3,5f2a12f5837dd81e5881b7cc,2023-05-09T00:49:36.348000Z,2023-05-09T01:51:35.451000,4353,44,0,United States,United States,United States,English,Yes,Part-Time,2,134.228.215.230,465,1,0,1,0,R_3KhFoXRC08Uhgul,41.702999,-83.570999,EN,50 tokens,Blue,Working together benefits everyone. If we put trust in each other we will have success. ,10.22,47.862,50.617001,5,Blue,Blue,100 Tokens,80,The more donated is the more that becomes multiplied. If we work together we will do better.,7.8140001,15.241,48.014999,3,60,67,80 tokens,50,Try to be fair and think of everyone. We are all working and doing our best and its possible to succeed while helping others as well,2.756,10.239,40.370998,3,40,50,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens",2,not well off,0,1,being respectful and welcoming to others,Yes,1,"I have both, brother(s) and sister(s)",10,No,,,0,0,0,1,1,1,1,White,Male,1,0
645976585b884ea718dfc491,6136aee758e3f41323d8c0c7,2023-05-08T22:24:02.686000Z,2023-05-09T00:31:16.797000,221,23,1,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,2,80.193.190.28,239,1,0,1,0,R_8DwXA8T0bxa6DqH,52.566502,-1.8159,EN,50 tokens,Blue,"click tokens, it is pure luck as to whether you will recieve a bonus not",3.6400001,3.6400001,18.334,1,Blue,Blue,100 Tokens,22,"do not contribute many tokens. Other people are greedy and will just do what is best for themselves, so you should too",1.652,35.469002,35.786999,5,60,9,80 tokens,10,"the less tokens you allocate to the other person completing the study the more tokens you recieve, so just choose less tokens for more money",1.931,29.926001,30.162001,6,51,50,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens",2,not well off,0,1,"friends and family, people to rely on and enjoy life with",Yes,1,I have a sister/sisters,8,No,,,0,0,0,0,1,1,1,White,Female,1,0
